Statement|s
Continuer|b
Floor Holder|fh
Acknowledge-answer|bk
Accept|aa
Defending/Explanation|df
Expansions of y/n Answers|e
Interrupted/Abandoned/Uninterpretable|%
Rising Tone|rt
Floor Grabber|fg
Offer|cs
Assessment/Appreciation|ba
Understanding Check|bu
Declarative-Question|d
Affirmative Non-yes Answers|na
Wh-Question|qw
Reject|ar
Collaborative Completion|2
Other Answers|no|828
Hold Before Answer/Agreement|h
Action-directive|co
Yes-No-question|qy
Dispreferred Answers|nd
Humorous Material|j
Downplayer|bd
Commit|cc
Negative Non-no Answers|ng
Maybe|am
Or-Clause|qrr
Exclamation|fe
Mimic Other|m
Apology|fa
About-task|t
Signal-non-understanding|br
Accept-part|aap
Rhetorical-Question|qh
Topic Change|tc
Repeat|r
Self-talk|t1
3rd-party-talk|t3
Rhetorical-question Continue|bh
Reject-part|arp
Misspeak Self-Correction|bsc
Reformulate/Summarize|bs
"Follow Me"|f
Or-Question|qr
Thanking|ft
Tag-Question|g
Open-Question|qo
Correct-misspeaking|bc
Sympathy|by
Welcome|fw
